player_id,observed_proportional_log_lift,observed_additional_pageviews,scoring_appearances,baseline_views,baseline_visibility_z,player_name,team_name,position_code,observed_percent_change,proportional_rank,additive_rank,rank_difference,rank_displacement,absolute_rank_displacement
P-58420,4.014232218621644,79151.12903225806,1,798.9354838709677,0.5916229108049905,Joško Gvardiol,Croatia,DF,5438.075875986734,53,44,-9,-9,9
P-42517,4.415909908893425,76927.12903225806,2,321.93548387096774,0.072708881784868,Youssef En-Nesyri,Morocco,FW,8175.710808641876,38,46,8,8,8
P-23821,4.149987141237735,87708.74193548386,1,733.1290322580645,0.532526819727309,Mohammed Kudus,Ghana,MF,6243.318462063827,48,41,-7,-7,7
P-30252,6.02304485855388,433830.4812903216,1,691.8387096774194,0.6036785848242322,Timothy Weah,United States,FW,41183.37041786181,8,1,-7,-7,7
P-92987,5.166279722065741,167122.25806451612,1,505.8709677419355,0.344896336670391,Randal Kolo Muani,France,FW,17426.160125944512,18,25,7,7,7
P-17688,1.3836024677690126,11843.903225806453,1,1971.548387096774,1.2379159944684772,Frenkie de Jong,Netherlands,MF,298.92469061807003,117,111,-6,-6,6
P-19075,4.741616239863581,147638.3064516129,2,400.0967741935484,0.2256333828149222,Breel Embolo,Switzerland,FW,11361.930434352867,32,26,-6,-6,6
P-30206,3.9478053284448658,70385.35483870968,1,492.3225806451613,0.3215460259730202,Daizen Maeda,Japan,FW,5082.151074659246,56,50,-6,-6,6
P-62594,2.0400883173514046,721.9316129032258,1,22.0,-1.541511423874282,Giorgian De Arrascaeta,Uruguay,MF,669.1288443108215,111,117,6,6,6
P-82216,2.142144838373615,10513.32258064516,1,760.8387096774194,0.5328507671537215,Moisés Caicedo,Ecuador,MF,751.7687112967445,107,112,5,5,5
P-95036,5.059471558473999,231887.4516129032,1,777.7741935483871,0.6392472390883991,Wout Weghorst,Netherlands,FW,15650.726095017337,22,17,-5,-5,5
P-18923,2.5332102655748665,23807.548387096773,1,780.2258064516129,0.6544715646486553,Andreas Christensen,Denmark,DF,1159.387098153259,95,92,-3,-3,3
P-41647,6.326232596938474,433830.4812903216,1,671.1290322580645,0.5298090280196022,Gonçalo Ramos,Portugal,FW,55804.646812618295,4,1,-3,-3,3
P-30405,2.363531953409077,18632.225806451614,1,1206.3870967741937,0.7632319591677444,Carlos Soler,Spain,MF,962.8424336807204,98,100,2,2,2
P-32165,2.32324474101748,16897.16129032258,1,808.4193548387096,0.6149354449735884,Piotr Zieliński,Poland,MF,920.8745358359412,101,103,2,2,2
P-40007,4.40078740708385,87662.0,1,430.0,0.258066274768012,Dani Olmo,Spain,FW,8051.502891274248,40,42,2,2,2
P-57401,3.51812007743426,47530.16129032258,1,706.4193548387096,0.5401069804029046,Adrien Rabiot,France,MF,3272.09760159414,66,68,2,2,2
P-75912,5.583066585466236,332656.5148387092,2,761.2258064516129,0.629966034091478,Enner Valencia,Ecuador,FW,26488.571815463216,9,10,1,1,1
P-97615,4.407400120845702,98438.19354838708,1,569.9032258064516,0.4108903959728547,Denzel Dumfries,Netherlands,DF,8105.585064513558,39,40,1,1,1
